Fecha,Ano,Empresa,Periodo,Unidades Vendidas,Inyecciones Gobierno USD Mn,Tipo Inyeccion,Reserva Garantia USD Mn,Provision Garantia USD Mn,Tasa Reclamos Garantia dec,Ingresos Totales USD Mn,Beneficio Neto USD Mn,Pasivo Total USD Mn,Margen Neto dec,Mercado Mundial EV Unidades,Participacion Mundial dec,Participacion China NEV dec,Cuota Mercado Total China dec,Pct Ventas China dec,Pct Ventas Exterior dec,Ingreso Automotriz por Vehiculo USD,Descuento Implicito dec,Tasa FX CNY USD,Fuente
2020-12-31,2020,BYD,Anual cerrado,189689,,Subsidios gubernamentales chinos (informe anual),,,,22692,614,20930,0.0271,3200000,0.0593,0.0950,0.0240,,,28508,,6.901,Informe anual BYD (002594.SZ/1211.HK) | CPCA | Rho Motion | WarrantyWeek
2020-12-31,2020,Tesla,Anual cerrado,499550,1580,Venta de creditos regulatorios de emisiones,1468,,,31536,721,28469,0.0229,3200000,0.1561,0.1239,,0.2752,0.7248,54521,,1,Tesla 10-K/8-K (SEC EDGAR) | CPCA | Rho Motion | WarrantyWeek
2021-12-31,2021,BYD,Anual cerrado,593745,,Subsidios gubernamentales chinos (informe anual),,,,33503,472,30050,0.0141,6750000,0.0880,0.1580,0.0380,,,27016,0.0523,6.4515,Informe anual BYD (002594.SZ/1211.HK) | CPCA | Rho Motion | WarrantyWeek
2021-12-31,2021,Tesla,Anual cerrado,936172,1465,Venta de creditos regulatorios de emisiones,2101,1056,0.0111,53823,5519,30548,0.1025,6750000,0.1387,0.1073,,0.3426,0.6574,50452,0.0746,1,Tesla 10-K/8-K (SEC EDGAR) | CPCA | Rho Motion | WarrantyWeek
2022-12-31,2022,BYD,Anual cerrado,1863494,,Subsidios gubernamentales chinos (informe anual),,,0.0058,63020,2470,54000,0.0392,10500000,0.1775,0.2710,0.0860,0.9700,0.0300,25894,0.0415,6.729,Informe anual BYD (002594.SZ/1211.HK) | CPCA | Rho Motion | WarrantyWeek
2022-12-31,2022,Tesla,Anual cerrado,1313851,1776,Venta de creditos regulatorios de emisiones,3505,1685,0.0112,81462,12556,36440,0.1541,10500000,0.1251,0.0775,,0.3347,0.6653,54391,-0.0781,1,Tesla 10-K/8-K (SEC EDGAR) | CPCA | Rho Motion | WarrantyWeek
2023-12-31,2023,BYD,Anual cerrado,3024417,652,Subsidios gubernamentales chinos (informe anual),2061,,0.0075,85040,4241,74850,0.0499,13600000,0.2224,0.3380,0.1190,0.9197,0.0803,22569,0.1284,7.0827,Informe anual BYD (002594.SZ/1211.HK) | CPCA | Rho Motion | WarrantyWeek
2023-12-31,2023,Tesla,Anual cerrado,1808581,1790,Venta de creditos regulatorios de emisiones,5152,2333,0.0149,96773,14997,43009,0.1550,13600000,0.1330,0.0780,,0.3338,0.6662,45571,0.1622,1,Tesla 10-K/8-K (SEC EDGAR) | CPCA | Rho Motion | WarrantyWeek
2024-12-31,2024,BYD,Anual cerrado,4272145,1447,Subsidios gubernamentales chinos (informe anual),3380,1840,0.0069,107995,5594,80110,0.0518,17100000,0.2498,0.3410,0.1620,0.9023,0.0977,20083,0.1101,7.1957,Informe anual BYD (002594.SZ/1211.HK) | CPCA | Rho Motion | WarrantyWeek
2024-12-31,2024,Tesla,Anual cerrado,1789226,2760,Venta de creditos regulatorios de emisiones,6716,2730,0.0189,97690,7091,48390,0.0726,17100000,0.1046,0.0600,,0.3673,0.6327,43074,0.0548,1,Tesla 10-K/8-K (SEC EDGAR) | CPCA | Rho Motion | WarrantyWeek
2025-12-31,2025,BYD,Anual cerrado,4602436,1805,Subsidios gubernamentales chinos (informe anual),,,,116348,4721,89360,0.0406,20700000,0.2223,0.2720,0.1470,0.7719,0.2281,20396,-0.0156,6.91,Informe anual BYD (002594.SZ/1211.HK) | CPCA | Rho Motion | WarrantyWeek
2025-12-31,2025,Tesla,Anual cerrado,1636129,1990,Venta de creditos regulatorios de emisiones,8610,2490,,94827,3794,54941,0.0400,20700000,0.0790,0.0490,,0.3824,0.6176,42494,0.0135,1,Tesla 10-K/8-K (SEC EDGAR) | CPCA | Rho Motion | WarrantyWeek
